Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
265.7,0.0,99.32,99.45,181.43,440.84,46.26,9.62,0.0,1043.62,97.02,86.86
266.76,0.0,99.36,99.45,181.41,446.18,51.75,9.62,0.0,1044.84,95.83,256.67
267.86,0.0,98.86,99.53,181.4,441.99,63.03,9.62,0.0,1046.06,94.83,303.37
269.01,0.0,98.98,99.53,181.44,446.94,46.79,9.62,0.0,1046.46,94.39,379.02
270.05,0.0,99.62,99.56,181.33,443.89,62.8,9.62,0.0,1048.29,94.58,247.9
271.08,0.0,100.65,99.56,181.4,449.23,61.13,9.66,0.0,1050.33,93.99,131.85
272.08,0.0,100.65,99.6,181.37,444.66,59.37,9.62,0.0,1049.51,92.76,163.9
273.15,0.0,100.69,99.64,181.41,446.18,56.02,9.7,0.0,1044.43,90.8,59.76
274.18,0.0,100.77,99.64,181.44,441.99,51.06,9.7,0.0,1044.23,89.99,148.75
275.21,0.0,100.96,99.64,181.53,443.51,55.48,9.73,0.0,1044.03,86.05,120.46
276.24,0.0,102.18,99.87,178.87,435.51,61.96,9.85,0.0,1036.9,84.49,87.65
277.28,0.0,102.1,99.94,178.65,439.7,67.45,9.85,0.0,1040.56,86.09,137.73
278.28,0.0,102.14,100.02,178.55,440.08,43.82,9.85,0.0,1036.5,85.42,151.69
279.37,0.0,101.95,100.1,178.52,434.36,65.01,9.89,0.0,1031.42,82.44,74.42
280.38,0.0,102.03,100.14,178.82,433.98,66.46,9.89,0.0,1031.01,82.27,133.55
281.44,0.0,102.1,100.14,178.23,436.27,67.0,9.92,0.0,1034.47,82.6,159.64
282.57,0.0,102.1,100.1,178.2,435.13,68.52,9.92,0.0,1025.93,78.78,253.53
283.63,0.0,102.18,99.98,177.83,430.55,72.56,9.92,0.0,1023.08,80.71,239.46
284.63,0.0,102.22,100.25,177.74,427.12,67.68,10.0,0.0,1021.45,80.48,124.35
285.7,0.0,102.26,100.25,177.44,427.12,65.85,10.0,0.0,1017.38,79.71,166.58
286.71,6.08,102.33,100.06,186.4,452.66,74.32,11.22,0.0,1037.12,94.6,58.22
287.72,3.64,102.26,100.14,186.4,454.57,76.76,11.26,0.0,1039.55,95.02,231.99
288.75,4.25,102.18,100.29,186.29,450.38,76.15,11.26,0.0,1041.18,96.56,128.23
289.81,7.3,101.99,100.4,186.01,451.9,73.1,11.3,0.0,1042.4,95.65,112.68
290.94,8.6,101.95,100.48,185.97,454.19,71.8,11.34,0.0,1041.59,95.18,312.05
291.97,32.39,101.76,100.59,185.56,455.33,48.01,11.34,0.0,1042.4,93.41,116.21
292.97,9.13,101.72,100.67,185.39,456.09,71.27,11.37,0.0,1045.04,92.5,144.23
293.98,8.98,101.65,100.67,185.23,454.95,71.42,11.41,0.0,1043.42,90.64,200.33
295.07,12.56,101.65,100.67,185.05,454.57,67.84,11.41,0.0,1044.43,90.59,260.58
296.23,37.35,101.57,100.75,185.11,461.81,43.05,11.41,0.0,1050.12,89.96,132.23
297.23,15.0,101.57,100.82,184.97,460.67,65.4,11.45,0.0,1049.11,85.05,81.95
298.36,27.28,101.57,100.82,184.87,457.24,53.12,11.41,0.0,1048.9,82.39,139.87
299.42,17.6,101.61,100.82,184.86,456.86,62.8,11.41,0.0,1045.45,82.11,255.42
300.58,31.63,101.68,100.82,184.53,459.53,48.77,11.41,0.0,1047.28,83.79,143.77
301.61,6.69,101.76,100.82,184.53,457.24,73.71,11.45,0.0,1044.23,81.88,100.5
302.62,8.14,101.91,100.82,184.2,453.81,72.26,11.45,0.0,1046.26,81.43,75.13
303.65,31.25,102.03,100.78,183.77,453.04,49.15,11.53,0.0,1044.43,81.5,90.63
304.65,13.18,102.18,100.82,182.87,450.76,67.23,11.56,0.0,1043.62,82.85,92.46
305.75,23.39,102.37,100.82,182.74,453.04,57.01,11.68,0.0,1046.67,84.09,93.91
306.75,27.28,102.48,100.86,182.19,452.28,53.12,11.75,0.0,1044.23,85.58,116.31
307.84,35.74,102.64,100.86,181.48,456.86,44.66,11.75,0.0,1048.3,84.81,133.81
308.91,23.54,102.83,100.9,180.88,451.52,56.86,11.75,0.0,1047.07,83.67,109.47
309.94,10.35,102.9,100.97,180.6,451.14,70.05,11.72,0.0,1044.23,86.54,115.9
311.07,9.21,102.94,100.94,180.52,451.14,71.19,11.72,0.0,1046.26,88.38,256.66
312.1,5.93,103.02,101.01,179.85,452.28,74.47,11.75,0.0,1045.86,87.52,109.37
313.13,6.92,103.09,101.05,179.22,445.42,73.48,11.72,0.0,1040.36,86.79,309.87
314.2,4.02,103.17,101.09,179.08,451.14,76.38,11.72,0.0,1042.4,86.7,201.65
315.2,20.88,103.21,101.09,179.03,449.99,59.52,11.75,0.0,1042.2,86.12,400.65
316.29,10.58,103.21,101.13,178.67,450.76,69.82,11.75,0.0,1043.01,87.17,262.93
317.45,13.63,103.25,101.17,178.32,452.66,66.77,11.79,0.0,1045.04,85.58,208.45
318.45,15.84,103.32,101.24,177.3,453.04,64.56,11.83,0.0,1044.43,85.28,106.06
319.49,11.8,103.44,101.43,176.86,448.09,68.6,11.98,0.0,1044.64,84.81,81.23
323.36,23.01,103.51,101.55,175.96,451.9,57.39,12.14,0.0,1040.57,87.33,93.82
324.36,32.85,103.55,101.7,175.43,449.99,47.55,12.21,0.0,1038.74,89.03,111.89
325.39,24.54,103.59,101.85,174.53,447.33,55.86,12.25,0.0,1039.14,88.17,52.71
326.44,22.32,103.59,101.93,173.84,447.33,58.08,12.36,0.0,1038.73,87.33,78.11
327.51,19.12,103.59,102.04,173.81,453.43,61.28,12.36,0.0,1044.03,87.0,124.84
327.92,13.02,104.35,104.18,176.46,445.04,67.38,14.39,0.0,1010.67,67.38,125.99
329.0,8.68,104.5,104.1,176.79,448.09,71.72,14.69,0.0,1013.11,67.91,69.09
330.07,2.5,104.66,104.06,176.73,443.89,77.9,14.84,0.0,1011.68,67.41,258.0
331.1,19.81,104.77,104.06,176.89,446.94,60.59,14.99,0.0,1015.75,68.43,205.0
332.1,2.58,105.11,103.95,177.2,446.94,77.82,15.26,0.0,1016.77,68.99,70.36
333.1,4.02,105.31,103.87,177.18,448.09,76.38,15.57,0.0,1014.53,68.96,73.45
334.12,11.65,105.38,103.87,177.38,445.04,68.75,15.53,0.0,1010.26,66.76,246.01
335.15,4.18,105.46,103.87,177.42,446.18,76.22,15.61,0.0,1010.47,69.55,147.59
336.27,11.57,105.57,103.91,177.44,448.09,68.83,15.53,0.0,1009.45,72.09,159.23
337.4,11.8,105.65,103.87,177.49,442.75,68.6,15.45,0.0,1009.24,69.69,150.0
338.45,5.55,105.72,103.87,177.71,441.61,74.85,15.3,0.0,1004.97,70.95,114.53
339.47,26.9,105.76,103.91,177.69,437.41,53.5,15.22,0.0,1003.14,70.22,230.63
340.47,4.63,105.95,104.02,177.81,434.36,75.77,15.41,0.0,1008.64,69.93,34.62
341.52,11.5,105.99,104.02,177.9,439.32,68.9,15.34,0.0,1008.03,68.64,297.68
342.65,13.48,106.11,104.52,177.9,435.89,66.92,15.26,0.0,1000.91,69.34,219.99
343.7,7.0,106.07,104.56,177.47,437.79,73.4,15.26,0.0,1000.3,67.14,87.9
344.77,9.9,106.03,104.6,177.29,446.94,70.5,15.15,0.0,1020.41,72.15,120.94
345.8,0.9,106.26,105.36,172.18,403.1,79.5,14.65,0.0,948.09,66.85,514.29
346.75,8.42,103.48,104.63,253.99,464.48,51.98,6.91,207.23,1045.8,60.35,361.31
347.85,9.11,103.51,104.63,254.24,459.14,51.29,6.91,218.25,1045.39,60.38,496.77
348.88,0.0,103.63,104.6,254.53,464.1,61.81,6.87,263.26,1043.34,60.27,309.6
349.94,4.38,103.7,104.6,254.83,464.86,56.02,6.91,263.84,1048.26,60.59,518.39
350.95,4.46,103.74,104.56,255.0,463.34,55.94,6.87,264.94,1048.25,60.38,604.82
352.05,0.0,103.82,104.48,255.03,460.67,61.35,6.87,100.58,1048.46,60.35,794.88
353.08,10.56,103.82,104.52,255.18,466.01,49.84,6.87,109.68,1044.77,60.18,863.99
354.19,6.29,103.86,104.52,255.41,462.19,54.11,6.87,271.58,1043.14,57.57,794.88
355.22,24.97,103.89,104.52,255.57,461.05,35.43,6.87,92.26,1042.73,58.68,719.99
356.23,26.42,103.93,104.52,255.71,467.91,33.98,6.87,89.18,1044.77,58.92,499.18
357.31,10.33,103.97,104.52,255.77,466.39,50.07,6.84,97.19,1045.59,57.16,530.2
358.41,1.1,104.12,104.41,256.11,461.43,59.3,6.8,87.95,1043.34,65.86,124.19
359.54,16.89,104.16,104.48,256.13,464.48,43.51,6.8,71.04,1043.55,66.27,451.2
360.74,28.56,104.2,104.44,256.13,469.06,31.85,6.84,74.19,1046.61,66.21,431.98
362.89,0.0,105.99,105.02,266.01,453.81,60.44,6.76,68.02,1046.0,59.04,310.21
363.9,3.62,106.22,105.05,266.74,460.29,56.78,6.8,98.08,1042.11,60.09,133.82
364.93,23.45,106.26,105.05,266.95,466.39,36.95,6.84,80.28,1045.58,59.83,374.41
365.98,27.38,101.3,104.33,277.63,225.06,57.62,4.66,41.31,737.26,51.26,75.84
366.99,26.77,101.72,104.33,277.64,220.48,58.23,4.7,70.26,739.1,53.05,50.61
368.0,3.13,102.29,104.18,275.66,319.99,81.87,4.74,49.12,845.36,59.69,106.36
369.04,12.67,102.71,104.14,275.56,326.85,72.33,4.74,46.87,852.73,58.49,97.97
370.05,4.96,103.48,104.18,275.55,325.71,80.04,4.78,72.99,860.52,61.95,34.62
371.08,20.29,103.4,104.22,275.55,324.56,64.71,4.74,93.46,858.27,62.53,127.55
372.12,20.6,103.48,104.22,275.57,326.09,64.4,4.74,88.0,860.11,62.59,128.38
373.13,27.31,103.55,104.22,275.21,327.23,57.69,4.74,84.25,862.77,59.99,98.48
374.14,18.99,103.93,104.22,275.2,326.85,66.01,4.78,81.56,860.92,58.79,82.81
375.2,13.89,104.05,104.25,275.2,327.99,71.11,4.78,73.9,861.34,59.05,111.83
381.0,6.34,104.05,104.22,275.2,327.61,78.66,4.74,79.27,864.4,59.02,100.0
382.24,0.0,104.28,104.67,272.18,316.56,82.55,4.7,76.1,828.1,53.66,87.0
383.26,7.32,104.39,104.63,272.46,336.76,75.23,4.7,114.54,852.3,57.41,42.94
